pais,ca,prov,lat,lng
ES,GA,Lugo,42.7788608571,-7.948672500000002
ES,GA,Lugo,42.8343141429,-7.948672500000002
ES,GA,Lugo,42.8897674286,-7.948672500000002
ES,GA,Lugo,42.5015944286,-7.8587380000000016
ES,GA,Lugo,42.5570477143,-7.8587380000000016
ES,GA,Lugo,42.612501,-7.8587380000000016
ES,GA,Lugo,42.6679542857,-7.8587380000000016
ES,GA,Lugo,42.723407571399996,-7.8587380000000016
ES,GA,Lugo,42.7788608571,-7.8587380000000016
ES,GA,Lugo,42.8343141429,-7.8587380000000016
ES,GA,Lugo,42.9452207143,-7.8587380000000016
ES,GA,Lugo,43.000674,-7.8587380000000016
ES,GA,Lugo,43.05612728569999,-7.8587380000000016
ES,GA,Lugo,43.111580571400005,-7.8587380000000016
ES,GA,Lugo,43.1670338571,-7.8587380000000016
ES,GA,Lugo,43.2224871429,-7.8587380000000016
ES,GA,Lugo,43.2779404286,-7.8587380000000016
ES,GA,Lugo,43.3333937143,-7.8587380000000016
ES,GA,Lugo,43.388847,-7.8587380000000016
ES,GA,PO,42.224328,-9.0278865
ES,GA,PO,42.279781285700004,-9.0278865
ES,GA,PO,42.3352345714,-9.0278865
ES,GA,PO,42.3906878571,-9.0278865
ES,GA,PO,41.9470615714,-8.937952000000003
ES,GA,PO,42.0025148571,-8.937952000000003
ES,GA,PO,42.0579681429,-8.937952000000003
ES,GA,PO,42.1134214286,-8.937952000000003
ES,GA,PO,42.168874714299996,-8.937952000000003
ES,GA,PO,42.224328,-8.937952000000003
ES,GA,PO,42.279781285700004,-8.937952000000003
ES,GA,PO,42.3352345714,-8.937952000000003
ES,GA,PO,42.3906878571,-8.937952000000003
ES,GA,PO,42.4461411429,-8.937952000000003
ES,GA,PO,42.5015944286,-8.937952000000003
ES,GA,PO,41.8916082857,-8.848017500000003
ES,GA,PO,41.9470615714,-8.848017500000003
ES,GA,PO,42.0025148571,-8.848017500000003
ES,GA,PO,42.0579681429,-8.848017500000003
ES,GA,PO,42.1134214286,-8.848017500000003
ES,GA,PO,42.168874714299996,-8.848017500000003
ES,GA,PO,42.224328,-8.848017500000003
ES,GA,PO,42.279781285700004,-8.848017500000003
ES,GA,PO,42.3352345714,-8.848017500000003
ES,GA,PO,42.3906878571,-8.848017500000003
ES,GA,PO,42.4461411429,-8.848017500000003
ES,GA,PO,42.5015944286,-8.848017500000003
ES,GA,PO,42.5570477143,-8.848017500000003
ES,GA,PO,41.9470615714,-8.758083000000001
ES,GA,PO,42.0025148571,-8.758083000000001
ES,GA,PO,42.0579681429,-8.758083000000001
ES,GA,PO,42.1134214286,-8.758083000000001
ES,GA,PO,42.168874714299996,-8.758083000000001
