pais,ca,prov,lat,lng,fo1,fo2
ES,GA,Lugo,42.7788608571,-7.9486725000000025,3088986.707490281,4333999.917642483
ES,GA,Lugo,42.8343141429,-7.9486725000000025,3091858.3355982895,4338028.952779937
ES,GA,Lugo,42.8897674286,-7.9486725000000025,3095347.2150225183,4342924.021800663
ES,GA,Lugo,42.5015944286,-7.8587380000000016,3036151.8074123547,4259869.96038785
ES,GA,Lugo,42.5570477143,-7.8587380000000016,3036002.3504793383,4259660.264977438
ES,GA,Lugo,42.612501,-7.8587380000000016,3036441.160531745,4260275.937012018
ES,GA,Lugo,42.6679542857,-7.8587380000000016,3037476.541442497,4261728.627232746
ES,GA,Lugo,42.723407571399996,-7.8587380000000016,3039116.754401187,4264029.92649397
ES,GA,Lugo,42.7788608571,-7.8587380000000016,3041369.9299885696,4267191.242399432
ES,GA,Lugo,42.8343141429,-7.8587380000000016,3044243.9686429026,4271223.659651658
ES,GA,Lugo,42.9452207143,-7.8587380000000016,3051884.416408323,4281943.582759708
ES,GA,Lugo,43.000674,-7.8587380000000016,3056664.4423545604,4288650.193703383
ES,GA,Lugo,43.05612728569999,-7.8587380000000016,3062092.310639597,4296265.759236015
ES,GA,Lugo,43.111580571400005,-7.8587380000000016,3068172.9814336225,4304797.238719761
ES,GA,Lugo,43.1670338571,-7.8587380000000016,3074910.4490951216,4314250.236435566
ES,GA,Lugo,43.2224871429,-7.8587380000000016,3082307.6278508413,4324628.841186547
ES,GA,Lugo,43.2779404286,-7.8587380000000016,3090366.2514040815,4335935.485443502
ES,GA,Lugo,43.3333937143,-7.8587380000000016,3099086.7910463302,4348170.830451513
ES,GA,Lugo,43.388847,-7.8587380000000016,3108468.3957799016,4361333.682219071
ES,GA,PO,42.224328,-9.027886500000001,3670059.101050522,5149272.997234499
ES,GA,PO,42.279781285700004,-9.027886500000001,3667660.105710452,5145907.089061092
ES,GA,PO,42.3352345714,-9.027886500000001,3665741.566500191,5143215.284412304
ES,GA,PO,42.3906878571,-9.027886500000001,3664306.836102061,5141202.28726594
ES,GA,PO,41.9470615714,-8.937952000000003,3640618.9555821707,5107967.028605426
ES,GA,PO,42.0025148571,-8.937952000000003,3635821.6106476793,5101236.118271441
ES,GA,PO,42.0579681429,-8.937952000000003,3631491.5147346514,5095160.781241035
ES,GA,PO,42.1134214286,-8.937952000000003,3627632.4866786064,5089746.375527821
ES,GA,PO,42.168874714299996,-8.937952000000003,3624248.317983428,5084998.220797784
ES,GA,PO,42.224328,-8.937952000000003,3621342.7623002874,5080921.583607697
ES,GA,PO,42.279781285700004,-8.937952000000003,3618919.523463177,5077521.660618389
ES,GA,PO,42.3352345714,-8.937952000000003,3616982.2421062435,5074803.559818201
ES,GA,PO,42.3906878571,-8.937952000000003,3615534.4808531916,5072772.279742997
ES,GA,PO,42.4461411429,-8.937952000000003,3614579.708101225,5071432.686724239
ES,GA,PO,42.5015944286,-8.937952000000003,3614121.2804604457,5070789.490250598
ES,GA,PO,41.8916082857,-8.848017500000003,3597516.504087188,5047492.174253845
ES,GA,PO,41.9470615714,-8.848017500000003,3592199.9344006637,5040032.7661160035
ES,GA,PO,42.0025148571,-8.848017500000003,3587351.1464321604,5033229.678681149
ES,GA,PO,42.0579681429,-8.848017500000003,3582974.144210684,5027088.5297984425
ES,GA,PO,42.1134214286,-8.848017500000003,3579072.924575418,5021614.92722937
ES,GA,PO,42.168874714299996,-8.848017500000003,3575651.4677746333,5016814.455457556
ES,GA,PO,42.224328,-8.848017500000003,3572713.7266031257,5012692.660448048
ES,GA,PO,42.279781285700004,-8.848017500000003,3570263.613896636,5009255.0321013825
ES,GA,PO,42.3352345714,-8.848017500000003,3568304.988391005,5006506.98441328
