pais,ca,prov,lat,lng
PT,Viseu,Castro Daire,40.9489024286,-8.038607
PT,Viseu,Castro Daire,40.8379958571,-7.948672500000001
PT,Viseu,Castro Daire,40.9489024286,-7.948672500000001
PT,Viseu,Castro Daire,40.7825425714,-7.858738000000001
PT,Viseu,Castro Daire,40.8379958571,-7.858738000000001
PT,Viseu,Castro Daire,40.893449142899996,-7.858738000000001
PT,Viseu,Castro Daire,40.9489024286,-7.768803500000001
PT,Porto,Póvoa de Varzim,41.3925287143,-8.758083000000001
PT,Porto,Póvoa de Varzim,41.447982,-8.758083000000001
PT,Vila Real,Montalegre,41.7807017143,-8.038607
PT,Vila Real,Montalegre,41.6143418571,-7.948672500000001
PT,Vila Real,Montalegre,41.725248428600004,-7.948672500000001
PT,Vila Real,Montalegre,41.836155,-7.948672500000001
PT,Vila Real,Montalegre,41.7807017143,-7.858738000000001
PT,Lisboa,Sobral de Monte Agraço,39.0080374286,-9.117821000000001
PT,Viana do Castelo,Ponte da Barca,41.836155,-8.218475999999999
PT,Braga,Barcelos,41.5034352857,-8.668148500000001
PT,Braga,Barcelos,41.5588885714,-8.668148500000001
PT,Braga,Barcelos,41.6143418571,-8.668148500000001
PT,Braga,Barcelos,41.447982,-8.578214
PT,Braga,Barcelos,41.5034352857,-8.578214
PT,Braga,Barcelos,41.6143418571,-8.578214
PT,Coimbra,Figueira da Foz,40.0616498571,-8.937952000000001
PT,Coimbra,Figueira da Foz,40.1171031429,-8.937952000000001
PT,Coimbra,Figueira da Foz,40.172556428600004,-8.937952000000001
PT,Coimbra,Figueira da Foz,40.2280097143,-8.937952000000001
PT,Coimbra,Figueira da Foz,40.283463,-8.937952000000001
PT,Coimbra,Figueira da Foz,40.172556428600004,-8.758083000000001
PT,Coimbra,Figueira da Foz,40.2280097143,-8.758083000000001
PT,Coimbra,Figueira da Foz,40.283463,-8.758083000000001
PT,Santarém,Sardoal,39.562570285700005,-8.218475999999999
PT,Santarém,Sardoal,39.507117,-8.128541499999999
PT,Coimbra,Mira,40.4498228571,-8.758083000000001
PT,Santarém,Rio Maior,39.2853038571,-8.937952000000001
PT,Santarém,Rio Maior,39.3407571429,-8.848017500000001
PT,Évora,Arraiolos,38.7862242857,-8.128541499999999
PT,Évora,Arraiolos,38.730771000000004,-8.038607
PT,Évora,Arraiolos,38.7862242857,-8.038607
PT,Évora,Arraiolos,38.730771000000004,-7.948672500000001
PT,Évora,Arraiolos,38.7862242857,-7.948672500000001
PT,Évora,Arraiolos,38.8416775714,-7.948672500000001
PT,Évora,Arraiolos,38.6753177143,-7.858738000000001
PT,Évora,Arraiolos,38.730771000000004,-7.858738000000001
PT,Évora,Arraiolos,38.7862242857,-7.858738000000001
PT,Évora,Arraiolos,38.8971308571,-7.858738000000001
PT,Évora,Arraiolos,38.8416775714,-7.768803500000001
PT,Castelo Branco,Proença-a-Nova,39.7289301429,-7.948672500000001
PT,Castelo Branco,Proença-a-Nova,39.7843834286,-7.768803500000001
PT,Santarém,Alcanena,39.4516637143,-8.668148500000001
